Date,2881.TW,Spread,Signal,2606.TW,2881.TW's trade,2606.TW's trade,2881.TW's position,2606.TW's position,Cash,Position MTM,Portfolio Value,returns,cum returns
2017-04-05,27.586946487426758,0.32349999822342035,,22.37919044494629,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17920023.943832397,23289797.819244385,0.01634067952274898,3.6579595638488733
2017-04-06,27.474346160888672,0.32837039512034893,,22.171974182128906,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18245599.8405838,22964221.92249298,-0.013979335470331145,3.5928443844985924
2017-04-07,27.1083984375,0.31796664256724183,,22.102903366088867,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17224038.683597565,23985783.079479218,0.04448490179349984,3.7971566158958394
2017-04-10,27.220996856689453,0.3449560838432113,,21.584867477416992,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19394067.7334404,21815754.029636383,-0.09047146981410747,3.3631508059272734
2017-04-11,27.023948669433594,0.3423256345500154,,21.481258392333984,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19072541.35344696,22137280.40962982,0.014738265730198874,3.4274560819259614
2017-04-12,26.911346435546875,0.34125241382240423,,21.412185668945312,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18922755.17605591,22287066.587020874,0.00676624113799873,3.4574133174041712
2017-04-13,26.96764373779297,0.3264023531024489,,21.792081832885742,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17809243.079395294,23400578.683681488,0.04996225466966919,3.680115736736293
2017-04-14,26.62984848022461,0.3432466332786084,,21.135902404785156,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18904811.28818512,22305010.474891663,-0.0468179964093719,3.461002094978328
2017-04-17,26.601701736450195,0.35167911342002034,,20.928688049316406,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19520987.595783234,21688834.16729355,-0.02762501762963676,3.337766833458705
2017-04-18,26.17945098876953,0.3183511234987235,,21.308582305908203,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16760785.780311584,24449035.982765198,0.12726372446675782,3.8898071965530345
2017-04-19,26.17945098876953,0.35009145114678386,,20.61786460876465,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19137563.334842682,22072258.4282341,-0.09721354887802336,3.4144516856468154
2017-04-20,26.489099502563477,0.3896767166021968,,20.0307559967041,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-22223327.92059326,18986493.84248352,-0.1398028478047979,2.7972987684967
2017-04-21,26.432802200317383,0.36619776113090374,,20.479724884033203,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-20484693.825344086,20725127.937732697,0.09157215174498767,3.1450255875465345
2017-04-24,26.460952758789062,0.3787002483552664,,20.237972259521484,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-21413437.695472717,19796384.067604065,-0.04481245534015432,2.9592768135208085
2017-04-25,26.883197784423828,0.38471939847479897,,20.4451847076416,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-22153370.385547638,19056451.377529144,-0.037377163806686764,2.8112902755058244
2017-04-26,26.460952758789062,0.35756517972583834,,20.686939239501953,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19868530.644218445,21341291.118858337,0.11989848981135154,3.268258223771663
2017-04-27,26.601701736450195,0.35167911342002034,,20.928688049316406,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19520987.595783234,21688834.16729355,0.016285005743073455,3.337766833458705
2017-04-28,26.62984848022461,0.3448218504712761,,21.10136604309082,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19023651.806720734,22186169.95635605,0.022930498948277922,3.4372339912712047
2017-05-02,26.770597457885742,0.34068050934304406,,21.308582305908203,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18794936.150348663,22414885.61272812,0.010308929248355803,3.482977122545619
2017-05-03,26.798749923706055,0.3464265244271614,,21.204973220825195,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19248331.072807312,21961490.69026947,-0.020227402909483994,3.3922981380538895
2017-05-04,26.85504722595215,0.35798408938812365,,20.997756958007812,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-20155088.101543427,21054733.661533356,-0.041288500927574745,3.2109467323066667
2017-05-05,26.798749923706055,0.3718597772151311,,20.652400970458984,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-21149746.553195953,20060075.20988083,-0.04724155943467245,3.012015041976162
2017-05-08,26.82689666748047,0.3990325777689536,,20.099828720092773,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-23148015.71072769,18061806.05234909,-0.09961424055616042,2.6123612104698144
2017-05-09,26.85504722595215,0.39842781967284235,,20.134363174438477,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-23126048.559043884,18083773.204032898,0.0012162212139881223,2.6167546408065756
2017-05-10,26.742450714111328,0.37947014191790807,,20.4451847076416,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-21669056.057178497,19540765.705898285,0.08056905411424098,2.908153141179653
2017-05-11,26.911346435546875,0.4038321601632102,,20.065290451049805,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-23557456.640110016,17652365.122966766,-0.09663902691190418,2.5304730245933493
2017-05-12,26.798749923706055,0.39798282832448617,,20.099828720092773,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-23051162.033584595,18158659.729492188,0.02868140348324788,2.6317319458984336
2017-05-15,26.99579429626465,0.3695692958955439,,20.859615325927734,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-21114751.37758255,20095070.385494232,0.10663841301332644,3.0190140770988423
2017-05-16,27.192848205566406,0.392923207846406,,20.514257431030273,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-22981204.49853897,18228617.26453781,-0.09288114374079193,2.6457234529075584
2017-05-17,27.136545181274414,0.390850552845563,,20.514257431030273,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-22787464.328071594,18422357.435005188,0.010628352532491947,2.6844714870010336
2017-05-18,26.798749923706055,0.394678473430929,,20.168899536132812,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-22813487.559749603,18396334.20332718,-0.0014125896628496282,2.6792668406654316
2017-05-19,26.601701736450195,0.3823630002670666,,20.272506713867188,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-21778924.631778717,19430897.131298065,0.05623745016459725,2.886179426259609
2017-05-22,26.71430015563965,0.367094022559038,,20.686939239501953,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-20740305.62381363,20469516.139263153,0.05345193281334115,3.0939032278526266
2017-05-23,26.658000946044922,0.3569775374991804,,20.859615325927734,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19952395.676849365,21257426.086227417,0.038491869646735344,3.251485217245479
2017-05-24,26.658000946044922,0.3443032519540714,,21.135902404785156,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19001684.655036926,22208137.108039856,0.044723712925357484,3.4416274216079668
2017-05-25,26.742450714111328,0.327219682292172,,21.584867477416992,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17747378.014629364,23462443.74844742,0.05647959728929597,3.6924887496894785
2017-05-26,26.51725196838379,0.30956012465841587,,21.792081832885742,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16259433.290672302,24950388.47240448,0.0634181477390019,3.99007769448089
2017-05-31,25.813501358032227,0.25705495423245006,,22.37919044494629,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-11817553.144012451,29392268.61906433,0.1780284964930563,4.87845372381286
2017-06-01,25.86979866027832,0.28027212324314554,,21.895689010620117,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-13675014.631324768,27534807.131752014,-0.06319558083065202,4.506961426350397
2017-06-02,25.98240089416504,0.29684709468945014,,21.619400024414062,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15013199.430835724,26196622.33224106,-0.04859975205592837,4.239324466448206
2017-06-03,25.98240089416504,0.29684709468945014,,21.619400024414062,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15013199.430835724,26196622.33224106,0.0,4.239324466448206
2017-06-05,25.926103591918945,0.2993051136647402,,21.51579475402832,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15175987.379211426,26033834.383865356,-0.006214081583157172,4.206766876773066
2017-06-06,25.841650009155273,0.30536386559133,,21.308582305908203,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15598403.826633453,25611417.93644333,-0.0162256716084751,4.122283587288661
2017-06-07,25.813501358032227,0.31684481288254673,,21.032297134399414,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16452248.044830322,24757573.71824646,-0.03333842039967283,3.9515147436492875
2017-06-08,25.813501358032227,0.3152646014221223,,21.066829681396484,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16333420.652767181,24876401.1103096,0.0047996380184689436,3.975280222061916
2017-06-09,25.785350799560547,0.30787781483841137,,21.204973220825195,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15761198.338245392,25448623.42483139,0.02300261649522284,4.089724684966273
2017-06-12,25.8979549407959,0.27832623756558084,,21.964757919311523,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-13534233.214050293,27675588.54902649,0.08750827449559195,4.535117709805292
2017-06-13,26.038700103759766,0.2807217250411673,,22.033832550048828,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-13780853.378875732,27428968.38420105,-0.0089111082276917,4.4857936768402045
2017-06-14,26.038700103759766,0.28982323781315644,,21.826616287231445,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-14493889.92685318,26715931.836223602,-0.02599574792569137,4.343186367244715
2017-06-15,26.066852569580078,0.3062666646131169,,21.481258392333984,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-15779148.789352417,25430672.973724365,-0.048108329905101055,4.086134594744868
2017-06-16,26.095001220703125,0.31044818744408875,,21.412185668945312,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16113690.066802979,25096131.696273804,-0.01315503045460964,4.019226339254756
2017-06-19,26.34834861755371,0.3201100175323952,,21.412185668945312,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16985465.046398163,24224356.71667862,-0.03473742448222106,3.8448713433357184
2017-06-20,26.71430015563965,0.346412931668596,,21.135902404785156,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19195411.69903183,22014410.064044952,-0.09122829053751946,3.402882012808985
2017-06-21,26.68614959716797,0.3143840300633367,,21.826616287231445,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-16721780.467357635,24488041.295719147,0.11236418439003515,3.897608259143823
2017-06-22,26.601701736450195,0.3343515226679479,,21.308582305908203,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18213761.58160019,22996060.181476593,-0.06092692740204475,3.599212036295312
2017-06-23,26.68614959716797,0.3548486137582536,,20.928688049316406,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19811574.88015747,21398246.88291931,-0.06948204544378112,3.2796493765838566
2017-06-26,27.249147415161133,0.3646636845851887,,21.170434951782227,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-20917007.633010864,20292814.130065918,-0.0516599681694383,3.058562826013178
2017-06-27,27.249147415161133,0.35528135240733194,,21.377653121948242,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-20203964.52179718,21005857.241279602,0.03513771459411519,3.2011714482559146
2017-06-28,26.939496994018555,0.3361033909807847,,21.550331115722656,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18544259.905529022,22665561.85754776,0.0790115155598885,3.533112371509546
2017-06-29,27.220996856689453,0.33118452859232717,,21.895689010620117,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18324522.756328583,22885299.0067482,0.009694758531973768,3.577059801349634
2017-06-30,27.277297973632812,0.3302170119747445,,21.964757919311523,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18280588.452960968,22929233.310115814,0.001919760950235272,3.5858466620231564
2017-07-03,27.512195587158203,0.31781835472086417,,22.448261260986328,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-17425129.678649902,23784692.08442688,0.03730865148175977,3.7569384168853697
2017-07-04,27.600282669067383,0.34047473198512046,,21.999298095703125,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19273133.54254532,21936688.220531464,-0.07769719521008234,3.387337644106287
2017-07-05,27.600282669067383,0.33896384246079414,,22.033832550048828,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19154299.58724594,22055522.17583084,0.005417132891926579,3.4111044351661626
2017-07-06,27.54155731201172,0.3430382107728809,,21.892364501953125,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19439019.338424683,21770802.4246521,-0.01290922739932887,3.3541604849304143
2017-07-07,27.482833862304688,0.35028610904647506,,21.680156707763672,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-19967162.958381653,21242658.80469513,-0.024259262918069013,3.24853176093902
2017-07-10,27.277301788330078,0.3333970918251157,,21.892364501953125,0.0,0.0,-3441026.0,3441026.0,41209821.76307678,-18529709.21079254,22680112.55228424,0.06766825945871702,3.5360225104568412
