Ticker Symbol ,Underlying Stock ,"Stock
Code ","TWSE
Stock"
KP,"Ruentex Development Co., Ltd.",9945,◎
KS,"Makalot Industrial Co., Ltd.",1477,◎
KU,Taiwan Glass Ind. Corp,1802,◎
KW,Pan-International Industrial Corp.,2328,◎
LB,Tripod Technology Corp.,3044,◎
LC,"Taiwan Mobile Co., Ltd.",3045,◎
LE,"Genius Electronic Optical Co., Ltd. ",3406,◎
LI,Flexium Interconnect Inc.,6269,◎
LM,"Merida Industry Co., Ltd.",9914,◎
LO,"Taiwan Cooperative Financial Holding Co., Ltd.",5880,◎
LQ,Inventec Corp.,2356,◎
LR,"KGI Financial Holding Co., Ltd.",2883,◎
LT,"Far Eastone Telecommunications Co., Ltd.",4904,◎
LU,Zhen Ding Technology Holding Ltd.,4958,◎
LV,"Chailease Holding Co., Ltd.",5871,◎
LW,"Eclat Textile Co., Ltd.",1476,◎
LX,Yageo Corp.,2327,◎
LY,Nan Ya Printed Circuit Board Corp.,8046,◎
MA,Grape King Bio Ltd.,1707,◎
MB,"Chin-Poon Industrial Co., Ltd.",2355,◎
MJ,Chroma Ate Inc.,2360,◎
MK,"Merry Electronics Co., Ltd.",2439,◎
MQ,Sigurd Microelectronics Corp.,6257,◎
MV,Taiwan Paiho Ltd.,9938,◎
OD,Cub Elecparts Inc.,2231,◎
OE,Hannstar Display Corp.,6116,◎
OL,"Largan Precision Co., Ltd.",3008,◎
OP,Accton Technology Corp.,2345,◎
OQ,Ennoconn Corp.,6414,◎
OR,"Hota Industrial Mfg. Co., Ltd.",1536,◎
OS,"Longchen Paper & Packaging Co., Ltd.",1909,◎
OZ,"ASE Technology Holding Co., Ltd.",3711,◎
PD,Taidoc Technology Corp.,4736,◎
PG,Taiwan High Speed Rail Corp.,2633,◎
PH,Asmedia Technology Inc.,5269,◎
PJ,"Elite Material Co., Ltd.",2383,◎
PN,Asmedia Technology Inc.,5269,◎
PS,MiTAC Holdings Corporation,3706,◎
PU,MediaTek Inc.,2454,◎
PV,Wiwynn Corporation,6669,◎
PW,Wiwynn Corporation,6669,◎
QB,Ennostar Inc.,3714,◎
QC,U-Ming Marine Transport Corp.,2606,◎
QD,Formosa Sumco Technology Corporation,3532,◎
QE,Yageo Corp.,2327,◎
QF,"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,◎
QG,Realtek Semiconductor Corp.,2379,◎
QH,Novatek Microelectronics Corp.,3034,◎
QJ,"Genius Electronic Optical Co., Ltd. ",3406,◎
QK,YFY Inc.,1907,◎
QM,Hiwin Technologies Corp.,2049,◎
QO,"Eternal Materials Co., Ltd.",1717,◎
QP,Cheng Loong Corporation,1904,◎
QR,Asustek Computer Inc.,2357,◎
QS,Nan Ya Printed Circuit Board Corp.,8046,◎
QT,Greatek Electronics Inc.,2441,◎
QU,ChipMOS Technologies Inc.,8150,◎
QV,Taiwan Mask Corp.,2338,◎
QW,"Via Technologies, Inc.",2388,◎
QX,Wan Hai Lines Ltd.,2615,◎
QZ,Powerchip Semiconductor Manufacturing Corp.,6770,◎
RA,"Asia Vital Components Co., Ltd.",3017,◎
RB,SERCOMM CORP.,5388,◎
RC,Aerospace Industrial Development Corporation,2634,◎
RE,Nuvoton Technology Corporation,4919,◎
RF,"Lotes Co., Ltd.",3533,◎
RG,"Jentech Precision Industrial Co., Ltd",3653,◎
RJ,Ta Ya Electric Wire & Cable,1609,◎
RK,Gold Circuit Electronics Ltd.,2368,◎
RL,TSEC Corporation,6443,◎
RM,Momo.Com Inc.,8454,◎
RQ,Momo.Com Inc.,8454,◎
RU,"Century Iron And Steel Industrial Co., Ltd.",9958,◎
RV,"Delta Electronics, Inc.",2308,◎
RW,Global Unichip Corp.,3443,◎
SA,"Lotus Pharmaceutical Co., Ltd.",1795,◎
SB,CHUNG HWA PULP CORP.,1905,◎
SC,"Makalot Industrial Co., Ltd.",1477,◎
SD,CHUNG-HSIN ELECTRIC & MACHINERY MFG. CORP.,1513,◎
SE,Accton Technology Corp.,2345,◎
SF,"Elite Material Co., Ltd.",2383,◎
SJ,Getac Holdings Corporation,3005,◎
SK,"Supreme Electronics Co., Ltd.",8112,◎
SL,"Gigabyte Technology Co., Ltd.",2376,◎
SV,"King Slide Works Co., Ltd.",2059,◎
SW,"Century Iron And Steel Industrial Co., Ltd.",9958,◎
UA,Shihlin Electric & Engineering Corp.,1503,◎
UB,"L&K Engineering Co., Ltd.",6139,◎
UE,"The Shanghai Commercial & Savings Bank, Ltd.",5876,◎
UF,Formosa Petrochemical Corp.,6505,◎
UG,Airoha Technology Corp.,6526,◎
UH,"Asia Vital Components Co., Ltd.",3017,◎
UI,Airoha Technology Corp.,6526,◎
